,"ECE services in Christchurch City, Selwyn District and Waimakariri Districts 4/3/2011",,,,,,,,
,,,,,,,,,
"Institution Number","Name","Institution Type","Street","Suburb","City","TLA","_XCoords","_YCoords","Ward"
70119,"Brynley Street Nursery & Preschool","Education & Care Service","68 Brynley Street","Hornby","Christchurch","Christchurch",2472250.32,5739813.87,"Riccarton-Wigram Ward"
70030,"Burwood Playcentre","Playcentre","241 New Brighton Road","Burwood","Christchurch","Christchurch",2484442.32,5745129.99,"Burwood-Pegasus Ward"
70561,"Busy C's Preschool Lyttelton","Education & Care Service","39 Voelas Road",,"Lyttelton","Christchurch",2486590.79,5733969.89,"Banks Peninsula Ward"
70333,"Casa Dei Bambini Foundation School","Education & Care Service","333 River Road","Richmond","Christchurch","Christchurch",2482815.89,5743339.63,"Shirley-Papanui Ward"
45406,"Cashmere Early Learning Centre","Education & Care Service","192 Cashmere Road","Hoon Hay","Christchurch","Christchurch",2478544.63,5736950.64,"Spreydon-Heathcote Ward"
70342,"Cherry's Early Learning Centre","Education & Care Service","45 Riverview Street","Beckenham","Christchurch","Christchurch",2481070.01,5737757.78,"Spreydon-Heathcote Ward"
45151,"Cherry's on Maryhill","Education & Care Service","5 Maryhill Avenue","Hoon Hay","Christchurch","Christchurch",2478219.38,5738212.06,"Spreydon-Heathcote Ward"
45238,"Christchurch Rudolf Steiner Kindergarten 3","Education & Care Service","19 Ombersley Terrace","Opawa","Christchurch","Christchurch",2482487.31,5738521.26,"Spreydon-Heathcote Ward"
70350,"Conductive Education Canterbury Inc","Education & Care Service","22 Brougham Street","Addington","Christchurch","Christchurch",2479159.46,5739907.71,"Spreydon-Heathcote Ward"
70385,"Cornerstone Christian Early Learning Cen","Education & Care Service","77 Windermere Road","Papanui","Christchurch","Christchurch",2477832.74,5745211.87,"Shirley-Papanui Ward"
70457,"Cotswold Preschool and Nursery","Education & Care Service","37 Colesbury Street","Bishopdale","Christchurch","Christchurch",2476620.19,5746854.17,"Fendalton-Waimairi Ward"
70341,"CPIT Early Learning Centre","Education & Care Service","130 Madras Street","Christchurch Central","Christchurch","Christchurch",2481155.03,5740986.59,"Hagley-Ferrymead Ward"
70046,"Dallington Playcentre","Playcentre","7 Halberg Street","Dallington","Christchurch","Christchurch",2484133.04,5743612.18,"Burwood-Pegasus Ward"
70044,"Diamond Harbour Playcentre","Playcentre","Purau Avenue",,"Diamond Harbour","Christchurch",2489166.35,5731209.01,"Banks Peninsula Ward"
70578,"Donald Duck Nursery","Education & Care Service","23 Macauley Street","Addington","Christchurch","Christchurch",2478922.17,5740064.51,"Spreydon-Heathcote Ward"
